frame,timestamp,qw,qx,qy,qz,tx,ty,tz,confidence
126,4.2,0.52305081,0.79466944,-0.30270969,0.05731649,-0.001708,-0.099294,1.006244,0.8
127,4.233333,0.5205788,0.79574894,-0.30443002,0.05571082,-0.001616,-0.099339,1.00643,0.8
128,4.266667,0.51784558,0.79696115,-0.30604296,0.05501441,-0.001559,-0.099379,1.006636,0.8
129,4.3,0.51584865,0.79778146,-0.30742657,0.05416458,-0.001334,-0.099421,1.00699,0.8
130,4.333333,0.51458039,0.79817215,-0.30868939,0.05328328,-0.001176,-0.099459,1.007398,0.8
131,4.366667,0.51257847,0.79909801,-0.30970603,0.05280019,-0.001256,-0.099496,1.007603,0.8
132,4.4,0.50974578,0.80059966,-0.31051036,0.05275165,-0.001315,-0.099549,1.007941,0.8
133,4.433333,0.50704056,0.80209977,-0.31110136,0.05255254,-0.001363,-0.099621,1.008355,0.8
134,4.466667,0.50428601,0.80359826,-0.31168275,0.05271918,-0.001388,-0.099636,1.008478,0.8
135,4.5,0.50161589,0.805014,-0.31227083,0.05311209,-0.001402,-0.099636,1.008576,0.8
136,4.533333,0.49963703,0.80606066,-0.31275568,0.05303709,-0.001422,-0.099683,1.008863,0.8
137,4.566667,0.4976467,0.80713245,-0.31317102,0.052999,-0.00144,-0.099732,1.009121,0.8
138,4.6,0.49523262,0.80848944,-0.31346798,0.05317245,-0.001456,-0.09978,1.009324,0.8
139,4.633333,0.49293703,0.80979746,-0.31368078,0.05334342,-0.001471,-0.099828,1.009538,0.8
140,4.666667,0.49127511,0.81076082,-0.31382358,0.05320173,-0.001474,-0.099857,1.009841,0.8
141,4.7,0.48964435,0.81169395,-0.31396782,0.053156,-0.001467,-0.099869,1.010198,0.8
142,4.733333,0.48733216,0.81293713,-0.31423115,0.05384586,-0.001456,-0.09986,1.010517,0.8
143,4.766667,0.48546998,0.81394251,-0.31444266,0.05424292,-0.001444,-0.099861,1.010976,0.8
144,4.8,0.48364298,0.81499299,-0.31451203,0.05438823,-0.001451,-0.099917,1.011436,0.8
145,4.833333,0.48139774,0.81626518,-0.3145694,0.05489504,-0.00147,-0.099988,1.011741,0.8
146,4.866667,0.4795239,0.81733027,-0.31460494,0.05524308,-0.001489,-0.10005,1.011958,0.8
147,4.9,0.47777572,0.81829764,-0.31467789,0.05565214,-0.001505,-0.100088,1.011982,0.8
148,4.933333,0.47603756,0.81922985,-0.31479366,0.05617503,-0.001518,-0.100107,1.011915,0.8
149,4.966667,0.47449444,0.82004496,-0.314921,0.0566221,-0.001524,-0.100124,1.011969,0.8
150,5.0,0.47341707,0.82059099,-0.3150702,0.05689876,-0.001515,-0.10012,1.012215,0.8
151,5.033333,0.47203133,0.82130243,-0.31520624,0.05739136,-0.001505,-0.100112,1.012421,0.8
152,5.066667,0.47015467,0.82229084,-0.31529973,0.05812434,-0.001514,-0.10012,1.012328,0.8
153,5.1,0.4690831,0.82289867,-0.31529681,0.05819579,-0.001522,-0.100142,1.01229,0.8
154,5.133333,0.46816679,0.82340897,-0.31531354,0.05826578,-0.001528,-0.100158,1.012319,0.8
155,5.166667,0.46718288,0.82390845,-0.31540658,0.05859782,-0.001532,-0.100156,1.012261,0.8
156,5.2,0.46614128,0.82446482,-0.31544638,0.05885279,-0.001539,-0.100192,1.012515,0.8
157,5.233333,0.46474422,0.82523704,-0.31542571,0.05918836,-0.001556,-0.100264,1.012908,0.8
158,5.266667,0.46339816,0.82597463,-0.31540862,0.05954379,-0.00157,-0.100304,1.013011,0.8
159,5.3,0.46212981,0.82667679,-0.3153744,0.05983744,-0.00158,-0.100343,1.013194,0.8
160,5.333333,0.46086974,0.82737388,-0.315334,0.06013328,-0.001587,-0.100384,1.013484,0.8
161,5.366667,0.45960315,0.82805249,-0.31532301,0.06054268,-0.001592,-0.10041,1.013658,0.8
162,5.4,0.45845583,0.82866009,-0.31532055,0.06093982,-0.001593,-0.100416,1.013736,0.8
163,5.433333,0.45767079,0.82912112,-0.31524497,0.06096085,-0.001591,-0.100425,1.013844,0.8
164,5.466667,0.4570287,0.82951717,-0.31515131,0.06087443,-0.00159,-0.100448,1.014079,0.8
165,5.5,0.45599231,0.83007057,-0.3151267,0.06122931,-0.001592,-0.10044,1.013959,0.8
166,5.533333,0.45468782,0.83074458,-0.31512181,0.06181158,-0.001594,-0.100422,1.013739,0.8
167,5.566667,0.45339438,0.83141685,-0.31510509,0.06235662,-0.001597,-0.100423,1.013696,0.8
168,5.6,0.45244674,0.83195438,-0.31501762,0.0625121,-0.001598,-0.100436,1.013764,0.8
169,5.633333,0.45151699,0.83250245,-0.31489242,0.06256863,-0.001605,-0.100473,1.013982,0.8
170,5.666667,0.45028984,0.83317642,-0.31480351,0.06288759,-0.001619,-0.100518,1.014133,0.8
171,5.7,0.44942793,0.83365139,-0.31474378,0.06305753,-0.001622,-0.100533,1.014237,0.8
172,5.733333,0.4486514,0.83406492,-0.31471515,0.06326141,-0.00162,-0.100519,1.014137,0.8
173,5.766667,0.44737949,0.8347016,-0.31472069,0.06384133,-0.001619,-0.100504,1.014054,0.8
174,5.8,0.44605754,0.8353675,-0.31471521,0.06440609,-0.001625,-0.100508,1.014046,0.8
175,5.833333,0.44526974,0.83578584,-0.31468231,0.06459042,-0.001632,-0.100523,1.014057,0.8
176,5.866667,0.44461392,0.83614127,-0.31463978,0.06471509,-0.001632,-0.100526,1.014075,0.8
177,5.9,0.44360682,0.83666085,-0.31460311,0.06508839,-0.00164,-0.100521,1.013847,0.8
178,5.933333,0.44245341,0.83723213,-0.31459545,0.06562804,-0.001643,-0.100503,1.013638,0.8
179,5.966667,0.44120505,0.83783561,-0.31460659,0.06627433,-0.001642,-0.100478,1.013465,0.8
180,6.0,0.44014522,0.83837409,-0.314568,0.06669359,-0.001641,-0.100468,1.013327,0.8
181,6.033333,0.43921743,0.83886237,-0.31449721,0.06700352,-0.001641,-0.100457,1.013128,0.8
182,6.066667,0.43813227,0.83941366,-0.31443572,0.06749069,-0.001646,-0.100433,1.012734,0.8
183,6.1,0.43704112,0.83995746,-0.31438491,0.06803417,-0.001651,-0.100406,1.01235,0.8
184,6.133333,0.43599273,0.84048355,-0.31432708,0.068529,-0.001658,-0.10038,1.011915,0.8
185,6.166667,0.43520916,0.84089568,-0.31425199,0.0687977,-0.00166,-0.100363,1.011619,0.8
186,6.2,0.43458561,0.84122822,-0.31418568,0.06897677,-0.001649,-0.100337,1.011522,0.8
187,6.233333,0.43355069,0.84174928,-0.31412214,0.06942071,-0.001644,-0.100319,1.011401,0.8
188,6.266667,0.43238156,0.84231988,-0.31407528,0.07000095,-0.001652,-0.100311,1.01116,0.8
189,6.3,0.43125359,0.84287433,-0.31401767,0.0705416,-0.001657,-0.100292,1.010857,0.8
190,6.333333,0.43013624,0.84343739,-0.31392974,0.07102324,-0.00166,-0.100277,1.010584,0.8
191,6.366667,0.42909153,0.84395403,-0.31385528,0.07153258,-0.001662,-0.100256,1.010339,0.8
192,6.4,0.42790043,0.84454078,-0.3137727,0.07210261,-0.001663,-0.100257,1.010373,0.8
193,6.433333,0.42652649,0.84523407,-0.31365488,0.07263012,-0.001672,-0.100292,1.010554,0.8
194,6.466667,0.42552895,0.84578676,-0.31349616,0.07273258,-0.001672,-0.100321,1.010762,0.8
195,6.5,0.42462501,0.84628516,-0.31336154,0.07279818,-0.001673,-0.100343,1.010908,0.8
196,6.533333,0.42340559,0.84689117,-0.31328161,0.0731962,-0.001685,-0.100363,1.01088,0.8
197,6.566667,0.42247497,0.84735782,-0.31321745,0.07344702,-0.001686,-0.100366,1.01088,0.8
198,6.6,0.42148565,0.84784514,-0.31315669,0.07376554,-0.001687,-0.100361,1.010802,0.8
199,6.633333,0.42017364,0.84849007,-0.31306544,0.0742209,-0.001697,-0.100374,1.010718,0.8
200,6.666667,0.41885548,0.8491369,-0.31296911,0.07467892,-0.001703,-0.100385,1.010688,0.8
201,6.7,0.41758308,0.84976364,-0.31286839,0.07509654,-0.00171,-0.100401,1.010683,0.8
202,6.733333,0.41641397,0.85032957,-0.31278711,0.07551991,-0.001735,-0.100406,1.0103,0.8
203,6.766667,0.41530072,0.85085767,-0.3127218,0.07597116,-0.001753,-0.1004,1.009937,0.8
204,6.8,0.41418422,0.85140459,-0.31262496,0.07633669,-0.001749,-0.100401,1.009977,0.8
205,6.833333,0.41310917,0.85193966,-0.31251199,0.07665427,-0.00174,-0.100388,1.009946,0.8
206,6.866667,0.41207589,0.85245455,-0.31239543,0.07696622,-0.001731,-0.100372,1.009894,0.8
207,6.9,0.4108985,0.85303687,-0.31226334,0.07734422,-0.001729,-0.100372,1.009897,0.8
208,6.933333,0.40965439,0.85365005,-0.31212221,0.07774701,-0.00173,-0.100389,1.010046,0.8
209,6.966667,0.40859367,0.85417322,-0.31199748,0.07808264,-0.001725,-0.100388,1.010108,0.8
210,7.0,0.40759399,0.85466732,-0.31187699,0.07838153,-0.001723,-0.100374,1.009957,0.8
211,7.033333,0.40659603,0.85515945,-0.31175779,0.07867057,-0.001715,-0.100356,1.009861,0.8
212,7.066667,0.40550567,0.85568251,-0.31164809,0.07904468,-0.00171,-0.10034,1.00978,0.8
213,7.1,0.40445498,0.85618289,-0.31154609,0.07941068,-0.001709,-0.100332,1.009695,0.8
214,7.133333,0.40354738,0.85662486,-0.31144258,0.07966729,-0.001705,-0.100329,1.009706,0.8
215,7.166667,0.40260727,0.85708284,-0.31133345,0.07992423,-0.001701,-0.100325,1.009673,0.8
216,7.2,0.40157314,0.85758632,-0.31120955,0.080208,-0.001704,-0.100316,1.009465,0.8
217,7.233333,0.40058416,0.85807134,-0.31108103,0.08046422,-0.001709,-0.100295,1.009057,0.8
218,7.266667,0.39971597,0.85849787,-0.31096474,0.08068136,-0.001709,-0.100263,1.008611,0.8
219,7.3,0.39887886,0.85891633,-0.31084102,0.08084713,-0.001705,-0.100242,1.008407,0.8
220,7.333333,0.39801877,0.8593496,-0.31070717,0.08099622,-0.001704,-0.100221,1.008104,0.8
221,7.366667,0.39696768,0.8598675,-0.31055855,0.0812276,-0.001713,-0.100213,1.007752,0.8
222,7.4,0.39575002,0.86045384,-0.31040332,0.081553,-0.001721,-0.100222,1.007675,0.8
223,7.433333,0.39460417,0.86100373,-0.31025618,0.08186096,-0.001722,-0.100217,1.007588,0.8
224,7.466667,0.39347393,0.86154594,-0.31010834,0.08215643,-0.001726,-0.100213,1.007442,0.8
225,7.5,0.39225811,0.86211969,-0.30996026,0.08250974,-0.001736,-0.100203,1.007115,0.8
226,7.533333,0.39116409,0.86262706,-0.3098366,0.08286433,-0.001737,-0.100175,1.00681,0.8
227,7.566667,0.39001699,0.86314655,-0.30972036,0.08329513,-0.001737,-0.100154,1.006621,0.8
228,7.6,0.38878274,0.86368894,-0.30960995,0.08385143,-0.001736,-0.100112,1.006215,0.8
229,7.633333,0.38777358,0.86412431,-0.3095224,0.0843606,-0.001726,-0.100049,1.005743,0.8
230,7.666667,0.38674391,0.86458403,-0.30941472,0.08477111,-0.001721,-0.100022,1.005507,0.8
231,7.7,0.38551932,0.86513048,-0.3092947,0.08521083,-0.001726,-0.100007,1.005216,0.8
