frame,timestamp,qw,qx,qy,qz,tx,ty,tz,confidence
110,3.666667,0.47110077,0.66858493,-0.5753649,0.00367232,-0.096096,-0.10968,1.030447,0.8
111,3.7,0.46773361,0.66997582,-0.57649489,0.00336189,-0.089211,-0.110684,1.029013,0.8
112,3.733333,0.46587485,0.67043423,-0.57747013,0.00261088,-0.079945,-0.11102,1.027659,0.8
113,3.766667,0.46255188,0.671316,-0.57911925,0.00121301,-0.07009,-0.111102,1.026173,0.8
114,3.8,0.45972746,0.67160595,-0.58102868,-0.001338,-0.060575,-0.110694,1.025021,0.8
115,3.833333,0.45785976,0.6710894,-0.58307858,-0.00477706,-0.051931,-0.110129,1.024284,0.8
116,3.866667,0.45582472,0.6715721,-0.58409499,-0.00691246,-0.045321,-0.109695,1.023946,0.8
117,3.9,0.45367949,0.67254064,-0.58463737,-0.00794655,-0.039291,-0.10953,1.023592,0.8
118,3.933333,0.45010968,0.67389182,-0.5858116,-0.00979068,-0.032438,-0.109854,1.024085,0.8
119,3.966667,0.44377045,0.6764511,-0.5876563,-0.01190685,-0.024593,-0.109113,1.024397,0.8
120,4.0,0.43678917,0.67923747,-0.5896183,-0.01421032,-0.016686,-0.107147,1.024341,0.8
121,4.033333,0.43176618,0.68209165,-0.58998918,-0.0155471,-0.010585,-0.105421,1.025111,0.8
122,4.066667,0.43133565,0.68448056,-0.58753359,-0.01549863,-0.006717,-0.104502,1.026817,0.8
123,4.1,0.43204173,0.68719217,-0.58386851,-0.01429791,-0.004645,-0.104185,1.02872,0.8
124,4.133333,0.43059967,0.69076486,-0.58074902,-0.01258651,-0.003781,-0.104032,1.029822,0.8
125,4.166667,0.43047462,0.69390752,-0.5771073,-0.01145068,-0.003511,-0.103936,1.030798,0.8
126,4.2,0.43135712,0.69675612,-0.57301748,-0.01062563,-0.003335,-0.10387,1.031611,0.8
127,4.233333,0.43051856,0.69994699,-0.56976939,-0.00952998,-0.003229,-0.103846,1.03216,0.8
128,4.266667,0.42825057,0.70336679,-0.56728187,-0.00824034,-0.00317,-0.103859,1.032665,0.8
129,4.3,0.4265264,0.70657174,-0.56460951,-0.00690675,-0.002931,-0.103896,1.033376,0.8
130,4.333333,0.42528814,0.7095382,-0.56183185,-0.00552314,-0.002758,-0.103922,1.034029,0.8
131,4.366667,0.42379739,0.71241502,-0.5593231,-0.00427556,-0.002827,-0.103935,1.034488,0.8
132,4.4,0.42205465,0.71527414,-0.55699517,-0.00302534,-0.002874,-0.103925,1.034528,0.8
133,4.433333,0.42034294,0.71805379,-0.55471382,-0.00177148,-0.002902,-0.103902,1.034399,0.8
134,4.466667,0.41859656,0.72070115,-0.55259962,-0.000662,-0.002919,-0.103915,1.03464,0.8
135,4.5,0.41687084,0.72318437,-0.55065685,0.00032106,-0.002931,-0.103942,1.035016,0.8
136,4.533333,0.41552636,0.72553308,-0.54857806,0.00130715,-0.002931,-0.103962,1.035392,0.8
137,4.566667,0.41421373,0.7278237,-0.54652929,0.00231882,-0.002926,-0.103974,1.035652,0.8
138,4.6,0.41256336,0.73006915,-0.544775,0.00327295,-0.002925,-0.103983,1.035746,0.8
139,4.633333,0.41098005,0.7321921,-0.54311396,0.00416608,-0.002924,-0.103986,1.035752,0.8
140,4.666667,0.41002976,0.73412748,-0.54120916,0.00500844,-0.002911,-0.10398,1.035868,0.8
141,4.7,0.40928057,0.73600775,-0.53921044,0.00583955,-0.002892,-0.103987,1.036192,0.8
142,4.733333,0.40822838,0.73795024,-0.53733943,0.00673561,-0.002876,-0.104008,1.036577,0.8
143,4.766667,0.40761337,0.73975959,-0.53530393,0.00753575,-0.002856,-0.10402,1.036963,0.8
144,4.8,0.40679556,0.74152806,-0.53346497,0.00828409,-0.002843,-0.10403,1.037185,0.8
145,4.833333,0.40544371,0.74334441,-0.53195021,0.00913532,-0.002839,-0.104047,1.037308,0.8
146,4.866667,0.40427297,0.74505404,-0.53043308,0.00992961,-0.002831,-0.104065,1.037514,0.8
147,4.9,0.40321933,0.74669291,-0.52891318,0.0107105,-0.002821,-0.104071,1.037611,0.8
148,4.933333,0.40214395,0.74830378,-0.52743585,0.0115379,-0.002811,-0.10407,1.037646,0.8
149,4.966667,0.40119944,0.74988313,-0.52589079,0.01237629,-0.002797,-0.104067,1.03772,0.8
150,5.0,0.40066132,0.75142391,-0.52407902,0.01318302,-0.002774,-0.104056,1.03787,0.8
151,5.033333,0.39999997,0.75293608,-0.52239096,0.0139628,-0.002756,-0.104054,1.038009,0.8
152,5.066667,0.39892072,0.75443803,-0.5210256,0.01475922,-0.002752,-0.104048,1.03789,0.8
153,5.1,0.39838177,0.7558797,-0.5193275,0.01538772,-0.002734,-0.104035,1.037927,0.8
154,5.133333,0.39796167,0.75729185,-0.51756995,0.01602836,-0.002715,-0.104037,1.038194,0.8
155,5.166667,0.39734194,0.75873509,-0.51590635,0.01676593,-0.002699,-0.104033,1.038305,0.8
156,5.2,0.39652052,0.76015788,-0.51442026,0.01741434,-0.00269,-0.104026,1.038226,0.8
157,5.233333,0.39532645,0.76155826,-0.51324346,0.01808756,-0.002694,-0.104029,1.038096,0.8
158,5.266667,0.39413813,0.76293916,-0.51208001,0.01878936,-0.002693,-0.104028,1.037988,0.8
159,5.3,0.39299533,0.76427823,-0.51093402,0.01949056,-0.002691,-0.10403,1.037983,0.8
160,5.333333,0.39190612,0.76561486,-0.5097404,0.02020414,-0.002684,-0.104036,1.03808,0.8
161,5.366667,0.39082746,0.76692109,-0.50857504,0.02091332,-0.002677,-0.104035,1.038098,0.8
162,5.4,0.38982315,0.76820472,-0.50737697,0.02163401,-0.002668,-0.104017,1.037948,0.8
163,5.433333,0.38920539,0.76947433,-0.50590158,0.02218122,-0.002646,-0.103993,1.037914,0.8
164,5.466667,0.38859972,0.77073961,-0.50441674,0.02268167,-0.002627,-0.103991,1.0381,0.8
165,5.5,0.3875774,0.77200558,-0.5032341,0.02337895,-0.002622,-0.103999,1.038202,0.8
166,5.533333,0.38642488,0.77325412,-0.50216781,0.02411177,-0.00262,-0.104,1.038157,0.8
167,5.566667,0.38526333,0.77449306,-0.50111573,0.02481337,-0.002617,-0.103991,1.038002,0.8
168,5.6,0.38461801,0.77552778,-0.49998869,0.02523803,-0.002603,-0.103943,1.037557,0.8
169,5.633333,0.38402498,0.77649508,-0.49892425,0.02558886,-0.002593,-0.103899,1.037136,0.8
170,5.666667,0.38294478,0.77759369,-0.49801714,0.02608202,-0.002594,-0.103898,1.037039,0.8
171,5.7,0.38216114,0.77865268,-0.49693892,0.02654383,-0.002583,-0.103885,1.03701,0.8
172,5.733333,0.38145468,0.77967682,-0.4958461,0.02707444,-0.002572,-0.103861,1.036861,0.8
173,5.766667,0.38045726,0.78075469,-0.49487933,0.02772793,-0.002568,-0.103841,1.036658,0.8
174,5.8,0.37946205,0.78183586,-0.49389828,0.02838518,-0.002562,-0.103827,1.03655,0.8
175,5.833333,0.37878004,0.78284787,-0.49278675,0.02891561,-0.002551,-0.103821,1.036642,0.8
176,5.866667,0.37813229,0.78385664,-0.49164616,0.02947533,-0.002539,-0.103817,1.036774,0.8
177,5.9,0.37720205,0.78488929,-0.49067286,0.03012576,-0.002535,-0.103794,1.036534,0.8
178,5.933333,0.37625284,0.78594264,-0.48967214,0.03080861,-0.002529,-0.103748,1.036061,0.8
179,5.966667,0.37530381,0.78699351,-0.4886677,0.03149835,-0.002522,-0.103706,1.035649,0.8
180,6.0,0.37439869,0.78803786,-0.48763743,0.03212005,-0.002511,-0.103682,1.035464,0.8
181,6.033333,0.37350085,0.78908634,-0.48658932,0.0327214,-0.002498,-0.103645,1.035121,0.8
182,6.066667,0.37250367,0.79012753,-0.48562094,0.03334366,-0.002493,-0.103579,1.034363,0.8
183,6.1,0.3715377,0.79116922,-0.48461849,0.03399875,-0.002484,-0.103505,1.033588,0.8
184,6.133333,0.37061724,0.79222495,-0.48354959,0.03467398,-0.002471,-0.103436,1.032944,0.8
185,6.166667,0.36987779,0.79330308,-0.48230272,0.03528081,-0.00245,-0.103385,1.032628,0.8
186,6.2,0.36923876,0.79444973,-0.48085866,0.03587919,-0.002422,-0.103339,1.032433,0.8
187,6.233333,0.3682704,0.7955859,-0.47967176,0.03653753,-0.002411,-0.103302,1.032102,0.8
188,6.266667,0.36713215,0.79664586,-0.47873355,0.03719606,-0.002412,-0.103281,1.03178,0.8
189,6.3,0.36595784,0.79770351,-0.47782218,0.03781445,-0.002413,-0.103258,1.03145,0.8
190,6.333333,0.36475031,0.79873213,-0.47698245,0.03836586,-0.002413,-0.103245,1.031226,0.8
191,6.366667,0.36355004,0.79975731,-0.47613411,0.03893489,-0.002411,-0.103226,1.030972,0.8
192,6.4,0.36236618,0.80074641,-0.47532509,0.03952209,-0.00241,-0.103198,1.030625,0.8
193,6.433333,0.36111176,0.80168853,-0.47464787,0.04003997,-0.002413,-0.103186,1.03041,0.8
194,6.466667,0.36016562,0.80271476,-0.47360616,0.0403353,-0.0024,-0.103194,1.030649,0.8
195,6.5,0.35923648,0.80377852,-0.472478,0.04066664,-0.002383,-0.103209,1.031009,0.8
196,6.533333,0.35788065,0.80483819,-0.47165599,0.04120139,-0.002379,-0.103219,1.031068,0.8
197,6.566667,0.35672929,0.80593498,-0.47060755,0.041732,-0.002366,-0.103212,1.031107,0.8
198,6.6,0.35558941,0.80704513,-0.46951497,0.04230868,-0.002353,-0.103198,1.031073,0.8
199,6.633333,0.35425146,0.80811707,-0.46863131,0.04286496,-0.002351,-0.103184,1.030853,0.8
200,6.666667,0.35293479,0.80914202,-0.46780639,0.04339825,-0.002351,-0.103156,1.030446,0.8
